ID,Category,Subcategory,Title,Description,Issuing Authority,Grade Level,Subject/Theme,Resource Type,Language,Link,File/Location,Date Issued,Last Updated,Valid Until,Status,Tags,Notes,Source Priority,Verified On,Reviewed By
FW-001,Framework,,National Education Policy 2020,Core national education policy,Ministry of Education,,Policy,PDF,English,https://www.education.gov.in/sites/upload_files/mhrd/files/NEP_2020.pdf,,2020-07-29,,,Active,NEP policy,Official NEP document,1,,
FW-002,Framework,,NCF-SE 2023,National curriculum framework,NCERT,,Curriculum Framework,Framework,English,https://ncert.nic.in/focus-group.php?ln=hi,,2023-01-01,,,Active,NCF curriculum,NCERT framework page,1,,
CR-001,Circular,,CBSE Student Circulars,Student-related official circulars,CBSE,,Circular,Portal,English,https://www.cbse.gov.in/cbsenew/list-of-circulars-related-to-student.html,,,,Active,CBSE circular,Official CBSE circulars page,1,,
CR-002,Circular,,CBSE SARAS Circulars,CBSE circular portal,CBSE,,Circular,Portal,English,https://saras.cbse.gov.in/saras/Home/Circulars,,,,Active,CBSE SARAS,Official SARAS circulars,1,,
CR-003,Circular,,Delhi Education Circulars,Delhi Directorate of Education notices,Directorate of Education Delhi,,Circular,Portal,English,https://www.edudel.nic.in,,,,Active,Delhi DoE circular,Official Delhi education website,1,,
CB-001,Capacity Building,,DIKSHA Teacher Platform,Teacher learning and training resources,Ministry of Education,,Training,Portal,English,https://www.india.gov.in/spotlight/diksha-national-digital-infrastructure-teachers,,,,Active,DIKSHA training,National teacher platform,1,,
